38,27
0,0,75,47,-1
0,1,75,49,-1
0,2,75,51,-1
0,3,75,51,-1
0,4,75,55,-1
0,5,75,51,-1
0,6,75,51,-1
0,7,75,51,-1
0,8,75,49,-1
0,9,75,57,-1
1,0,75,19,-1
1,9,75,36,-1
2,0,75,19,-1
2,9,75,36,-1
3,0,75,19,-1
3,9,75,36,-1
4,0,75,19,-1
4,9,75,36,-1
5,0,75,19,-1
5,9,75,36,-1
6,0,75,19,-1
6,9,75,36,-1
6,14,75,47,-1
6,15,75,49,-1
6,16,75,51,-1
6,17,75,51,-1
6,18,75,49,-1
6,19,75,51,-1
6,20,75,51,-1
6,21,75,51,-1
6,22,75,49,-1
6,23,75,57,-1
7,0,75,19,-1
7,9,75,30,-1
7,10,75,49,-1
7,11,75,49,-1
7,12,75,49,-1
7,13,75,49,-1
7,14,75,16,-1
7,23,75,36,-1
8,0,75,19,-1
8,9,75,-1,-1
8,23,75,36,-1
9,0,75,19,-1
9,9,75,27,-1
9,10,75,3,-1
9,11,75,3,-1
9,12,75,3,-1
9,13,75,3,-1
9,14,75,77,-1
9,23,75,36,-1
10,0,75,1,-1
10,1,75,3,-1
10,2,75,3,-1
10,3,75,3,-1
10,4,75,3,-1
10,5,75,3,-1
10,6,75,3,-1
10,7,75,3,-1
10,8,75,3,-1
10,9,75,13,-1
10,14,75,19,-1
10,23,75,36,-1
11,14,75,19,-1
11,23,75,36,-1
12,14,75,19,-1
12,23,75,36,-1
13,14,75,19,-1
13,23,75,36,-1
14,14,75,19,-1
14,23,75,36,-1
15,14,75,1,-1
15,15,75,3,-1
15,16,75,77,-1
15,18,75,27,-1
15,19,75,3,-1
15,20,75,3,-1
15,21,75,3,-1
15,22,75,3,-1
15,23,75,13,-1
16,16,75,19,-1
16,18,75,36,-1
17,16,75,19,-1
17,18,75,36,-1
18,16,75,19,-1
18,18,75,36,-1
19,0,75,47,-1
19,1,75,49,-1
19,2,75,51,-1
19,3,75,51,-1
19,4,75,51,-1
19,5,75,51,-1
19,6,75,51,-1
19,7,75,51,-1
19,8,75,49,-1
19,9,75,49,-1
19,10,75,49,-1
19,11,75,49,-1
19,12,75,49,-1
19,13,75,49,-1
19,14,75,49,-1
19,15,75,49,-1
19,16,75,16,-1
19,18,75,36,-1
20,0,75,19,-1
20,18,75,36,-1
21,0,75,19,-1
21,18,75,36,-1
22,0,75,19,-1
22,18,75,36,-1
23,0,75,19,-1
23,18,75,36,-1
24,0,75,19,-1
24,18,75,36,-1
25,0,75,19,-1
25,18,75,36,-1
26,0,75,1,-1
26,1,75,3,-1
26,2,75,3,-1
26,3,75,3,-1
26,4,75,3,-1
26,5,75,3,-1
26,6,75,3,-1
26,7,75,3,-1
26,8,75,3,-1
26,9,75,3,-1
26,10,75,3,-1
26,11,75,3,-1
26,12,75,3,-1
26,13,75,3,-1
26,14,75,3,-1
26,15,75,3,-1
26,16,75,3,-1
26,17,75,3,-1
26,18,75,13,-1
